,tweets_VERB
155,Veja como reconhecer o mosquito que transmite a dengue e a zika vírus. https://t.co/cjD2YKx2zG https://t.co/6lNgTdbNOK
156,"Espero que nenhum desses mosquitos seja da dengue, imagina se eu pego o zika vírus."
157,Falando em zika Hj tava tendo uma palestra dos mosquito ai o mlk falo: o zikingunya Eu ri apesar de n ter graça
158,Valeu pena compartilhar!  Não podemos dar brecha pro mosquito!  #prevencao #zika #dengue #chikunguya https://t.co/tG9QNkIbfo
159,"Disseram que o Zika Vírus pode ser transmitido pelo beijo. Mas quem vai beijar um mosquito? É cada uma, viu!"
160,"Rezando pra nao pegar Zika, varias picadas de mosquito"
161,Falando https://t.co/Oyycq5pQ0Xçar eu to cm tanta picada de mosquito espero q nenhum seja dengue zica chicungunha veneno de cobra barbeiro
162,Publiquei 53 fotos no Facebook no álbum 'Dia do Enfrentamento ao Mosquito Aedes aegypti e ao Zika virus' https://t.co/ctIDylyE59
163,Gostei de um vídeo @YouTube de @br_gamesblr https://t.co/oV6jPjwEWH Resident Evil 0. Mosquito Zica gigante #4. Legendado Pt-Br
164,"'Biela você e um viado muito feio parece com o mosquito da dengue , feio , sua zica ' 😂😂😂😂😂😂😂😂😂😂😂😂😂😂"
165,"Tinha uns 50 mosquitos no meu corpo, zica amanhã é certo eu ter"
166,"Disseram que o zika vírus pode ser transmitido através do beijo, mas quem vai beijar um mosquito? É cada uma que aparece."
167,Tinha mt mosquito peguei até o zika kkkkkk
168,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/KWwHc1E6of #Zika: Água parada pra combater mosquito??? (#Pirula 125)
169,Chei de mosquito aqui espero não acorda com zika virus
170,"Mano os mosquito tão me abusando aqui, quero ve se eu pego uma Zika virús, dai a culpa vai ser da minha mãe"
171,@crackHolandia mais zika e mosquito sua boba
172,Agr qualquer misquito que me pica já acho que é o zika vírus
173,"Veja como é fácil eliminar possíveis focos do mosquito transmissor da dengue, zika vírus e chikungunya. https://t.co/BZVOVx8wj8"
174,"ACESSE https://t.co/al1jiQGCAL LEIA, CURTA E DIVULGUE: É urgente controlar os mosquitos para deter o zika https://t.co/KeyrgqNKGK"
175,"Disseram que o Zika Vírus, pode ser transmitido pelo beijo...  Mas que tipo de pessoa vai beijar um mosquito?   É cada uma, viu!!!!"
176,@marisascruz Tem gente andando de helicóptero contra a dengue e zika !!kkk Ué mas o mosquito não voa??
177,Dizem q zika vírus eh transmitido pelo bj..  Mas q tipo de pessoa vai bja um mosquito!?😑👏
178,"Disseram que o Zika Vírus, pode ser transmitido pelo beijo...   Mas que tipo de pessoa vai beijar um mosquito?   É cada uma, viu!!!!"
179,"Disseram que o Zika Vírus, pode ser transmitido pelo beijo... Mas que tipo de pessoa vai beijar um mosquito? É cada uma, viu!!!!"
180,"Cheguei aqui na minha vo e já to me coçando por causa dos mosquitos,sai p la zica"
181,ELIMINE O MOSQUITO DA DENGUE E ZIKA COM ESTE INSETICIDA CASEIRO DE FERMENTO E AÇÚCAR MASCAVO - CONFIRA:... https://t.co/yTOTvxsfl0
182,"Disseram que o Zika Vírus, pode ser transmitido pelo beijo... Mas que tipo de pessoa vai beijar um mosquito? É cada uma, viu!!!!"
183,"entrou um mosquito aqui no meu quarto, parece o mosquito do zica virus"
184,Dar uma raquetada elétrica no #mosquito da #zika não pode mais https://t.co/Bs0vRSeeK6
185,Achamos a melhor forma de combater o mosquito da Zika..#KeithinOlimpicgames https://t.co/DINycYKygV
186,Vejo um mosquito perto de mim e já acho que é o zika.
187,"Será que é o mosquito bras que provoca a microcefalia? Na Colômbia, duplicou os casos de Zika e não nasceu nenhuma criança com microcefalia."
188,"Fique atento, o mosquito Aedes Aegypti é responsável pela transmissão do vírus da dengue, zica, chikungunya e febre amarela. 📢📢📢"
189,Disseram que o Zika Vírus pode ser transmitido pelo beijo. Mas quem vai beijar um mosquito?
190,Morrendo que todo mosquito que pica a Ana Paula ela fala que é o mosquito da zica KKKKKKKKKKKKKKKKKKK #BBB16
191,Ta certo meu raciocínio: Seca = rios/lagoas secas = menos sapos = mais mosquitos = mais zica/dengue? Raciocínio... https://t.co/Elzx28lSk4
192,"Amo ficar aqui no terraço, mas tem cada mosquito, tá zica menó"
193,espero voltar de viagem sem zika porque né a quantidade de mosquito que tem aqui só jesuix
194,PARECE QUE O MENINO CRUZEIRO FOI AFETADO PELO MOSQUITO AEDES PQ TA NUMA ZIKA
195,"hj fui no mercado com o anderson, um mosquito pousou nele, ele se jogou no chao do mercado falando q foi o zika virus"
196,"Peguei um mosquito em mim e torci pra que ele não fosse da Dengue, Zika ou Chi"
197,Há pouco tempo exterminei um mosquito da zika!! — se sentindo especial em Passo Fundo https://t.co/JplHovonaU
198,Vejo um mosquito perto de mim e já acho que é o zika.
199,ELIMINE O MOSQUITO DA DENGUE E ZIKA COM ESTE INSETICIDA CASEIRO DE FERMENTO E AÇÚCAR MASCAVO - CONFIRA:... https://t.co/bK1wjOUjXf
200,"Disseram que o Zika Vírus pode ser transmitido pelo beijo. Mas quem vai beijar um mosquito? É cada uma, viu! #TagueirosDominamSdv"
201,Gostei de um vídeo @YouTube de @lui_nato https://t.co/8IcVISbENA MOSQUITO É ZIKA
202,Gostei de um vídeo @YouTube https://t.co/ZQmgP07O9j VERDADE SOBRE A FARSA DO ZIKA VÍRUS TRANSMITIDO PELO MOSQUITO DA DENGUE
203,Gostei de um vídeo @YouTube de @talvanesaraujo https://t.co/KsBMuR2NZi MosquitoTransgênico - Zika e Microcefalia - Qual a Relação?
204,Da série ZIKA-nóia: Som bonito é o estralado que sai da raquete de matar mosquito!
205,"Deixei uma janela da lavanderia aberta... Dei de cara com uns 50 mosquitos. Se não peguei dengue, zica essas porras agora, nunca mais."
206,Acho que esse mosquito zica ta na minha casa porque a coisa ta ficando séria pro meu lado brasil
207,Chega um mosquito perto de mim eu ja fico em choque do zika virus
208,sei lá se é mosquito da dengue zika chikunghauahahahsu tds essas porcaria aí só espero q minha avo nao adoeça
209,Liguei o repelente porque meu quarto tá cheio de mosquitos e não quero ter ZIKA e ficar zikado IUASHIUASHIUASIU
210,tem muito mosquito aqui  será que é o zica vírus
211,Tive muita sorte em ter pegado zika bem antes dessas sorncas locas que tão aparecendo aí por causa do mosquito
212,"Conta quem escolhe nomes ridículos para as doenças causadas pelo mosquito da dengue? A pessoa com Zica, Chicungunha ou Dengue? É de rir né!"
213,Começamos hoje uma guerra contra o mosquito para evitar a entrada da  dengue zika e chikungunya vamos moradores... https://t.co/wew58v6ILZ
214,@luizbento @carlosom71 único remédio que previne zika/dengue é combater focos do mosquito. Fim.
215,Vejam como fazer uma armadilha pro mosquito da Dengue e do Zika Vírus. Facinho e quase sem custo! https://t.co/gfNGJlSbad
