,tweets_VBG
141,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/vADU3BQk2Q
142,"com a quantidade de picada de mosquito que eu to pelo corpo, é bem provável que eu tenha dengue, zica ou chicu"
143,"do jeito que esse mosquito ta me atacando, vo pegar aql zika virus"
144,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
145,abro a janela p ventar entra chuva mosquito zika lula dilma testemunha de jeova tris teza al quaeda paz amor drogas mas vento que é bom nada
146,daqui a pouco eu pego zika c esses mosquito
147,"e a 'zika' não é contagiosa, mas é transmissível pelo mosquito aedes aegypti.  temos o trabalhador do ano, pessoal."
148,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
149,Traveling? Bug bites?  Got mosquitos? Skin So Soft Bug Guard! #AvonRep #mosquitos #zika https://t.co/svReC0kz1P https://t.co/KF2t9DM4bS
150,do jeito q esses gringos agem parece que qnd eles pisarem no brasil vao ser atacado por 500 mosquitos vao pegar zika dengue e chikungunya
151,Vaiar a Hope Solo por se proteger do zika vírus é similar a vaiar alguém que passa protetor solar.
152,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/HMuY3vstVe via @UOLNoticias @UOL
153,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/QLQTdkm3K3
154,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/FTJX2WEUa1 https://t.co/d7RSwEPDFQ
155,Cai a verba federal de combate ao mosquito da dengue e zika. https://t.co/7aylqD0Vr0
156,Cai a verba  federal de combate ao mosquito da dengue e zika https://t.co/7aylqD0Vr0
157,"Thinking Mosquitos? In Colorado, It's West Nile, Not Zika - CBS Local https://t.co/GSOrkRDbDA https://t.co/CWZ8mvnbvE"
158,"fui me coçar e tinha outro mosquito me picando, ai fica a duvida: n basta zica ainda querem dengue? olha n da"
159,"Conscientize estudantes para combater o mosquito transmissor da dengue, zika e chikungunya! https://t.co/usY78Ub9tZ https://t.co/vHx4e1t0h0"
160,"Com a chegada do verão americano, o mosquito do zika vai fazer a festa por lá?"
161,"Com a importante colaboração da população, vamos intensificar as ações na luta contra o mosquito transmissor da dengue, chikungunya e o zica"
162,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgA3u1 https://t.co/LkFllgccte
163,Então a Dilma criou o mosquito Zika? Pqp em...
164,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/cqDwymWIKj
165,ql a lógica do nme ser zika vírus dve q foi tipo o bb saiu bugado aí os cara foi e falo nossa esse mosquito é zika msm vai chama zika vírus
166,"Getting ready to run... no #mosquitos no zika.... #repelent #nozika @ Ojus, Florida https://t.co/v6Y3PviMeo"
167,"'Só a Jessyka não pegou zika. A bicha é tão ruim que eu acho que foi ela que passou zika pra o primeiro mosquito.' VÓ, Minha."
168,"Thinking Mosquitos? In Colorado, It's West Nile, Not Zika https://t.co/GbfVaVyI8y"
