,tweets_VBZ
226,"Vi a pesquisa que passou na tv falando que roupa preta atrai o mosquito da dengue e do zika, menino vai ser o fim dos góticos"
227,"É a imprensa q faz torcer a favor do zika vírus! Último dia q vi o JN estavam procurando mosquito da dengue,zika,no palácio do planalto?"
228,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/166ZX9xZss via @bol
229,entao a dengue olhou para ele disse levante a cabeça e acredite no seu potencial..  esse mosquito era nada mais nada menos que o zika virus
230,Sou a favor do governo distribuir bolhas anti contato com o ar que o mosquito do Zika respira pq até isso deve ser contagioso
231,"Com a suspeita da possibilidade de transmissão do zika vírus pela saliva e pelo sêmen, que tal mudar o nome do mosquito para AIDS Aegypti?!"
232,"Antes a zika só pegava pelo mosquito, agr é saliva, sexo, e urina 😒"
233,daqui a pouco vão descobrir q todo mundo nasce com zika virus e na realidade o mosquito transmite a cura
234,"ZIKA  A situação cada vez fica mais preocupante!  Além da transmissão do vírus da Zika pelo mosquito,... https://t.co/LX9OXRCn9h"
235,"Com a quantidade de mosquitos que tem aqui em casa vou ficar com dengue,zica vírus,osteoporose,ebola,aids,tétano,hemorroida,poliomielite."
236,E a Guerra contra o Zika continua Baixas atualizadas  148 mosquitos  3 soldados  1 lança fumaça  2raquetes elétricas  560 frascos de Baygon
237,atenção a zika não é mais vinda pelo mosquito É UM VÍRUS  acabou humanidade
238,"Ajude a evitar a proliferação do mosquito que provoca o Zika vírus e a Dengue | Obras, Reformas,... https://t.co/AHt0AURxzQ"
239,Quando a presidenta dá uma de bióloga e fala sobre o mosquito transmissor da zica a coisa está feia o.0
240,É a coisa mais certa a se fazer.O Ministério da saúde está voando mais q o mosquito aedes.Pouco sabem sôbre o Zika. https://t.co/oI1siOQNGB
241,"Cadê a irreverência do brasileiro, não vão fazer nesse carnaval o melô do mosquito, a dança do zika, o Chico Gunha?"
242,"Chegou a hora de combater o mosquito da dengue, zica e cjikungunya. Faça sua parte!... https://t.co/f5AQzGyjir"
243,perdendo  a guerra e torrado milhões de reais no combate ao mosquito. https://t.co/MFkZhmT865 via @CartaCampinas
244,"Vamos a ver carajo..  Este país INFESTADO DE DENGUE, ZIKA Y TODAS LAS M DEL MOSQUITO Y EL SEGURO NO CUBRE PRUEBAS DE Esto???! Q PAIS DE M😠😠"
245,Pq a Dilma chamou líderes cristãos p discutir estratégias d combate ao aedes aegypti? Eles vão exorcizar o espírito Zika Virus nos mosquito?
