,tweets_VBN
203,Quando a picada de mosquito é algo mais | gráfico do @HuffingtonPost por @alissascheller https://t.co/GjP11WYY5k #zika #dengue #malaria
204,"Legal a iniciativa da unirio de conscientização sobre dengue/zika, mas não aguento mais os mosquitos voando toda vez que entro no site."
205,Pq a doença Zica é a + 'temida' entre as doenças do Aedes ja que ambas são transmitidos pelo mesmo mosquito?  #biologiatotal  @Prof_Jubilut
206,antigamente a única zika que eu tinha medo era a que as inimigas podiam jogar em mim agora eu tenho da do mosquito
207,"Conheça a Dengue, Chikungunya e Zika: O QUE É A DENGUE?A dengue é uma doença viral transmitida pelo mosquito A... https://t.co/B5VCleEycw"
208,"Com a confirmação que o Aedes Aegypti transmite dengue, chikungunya e agora zika, cientistas estudam usar o mosquito para transmitir wifi"
209,"Tive a sequencia dengue, zica e depois chicungunha, um tiro nesses mosquitos do capeta"
210,"Devido a esse virus do mosquito, essa zika😂"
211,Do onde veio o #zika vírus? Mosquitos geneticamente modificados sob suspeita:  https://t.co/9nnMC86qTa - via greenMe
212,"Com a proliferação das larvas do mosquito Aedes aegypti, transmissor da Dengue, Zika Vírus e Chikungunya, a... https://t.co/FYcsXPTWY5"
213,"abri a janela e entrou uma REVOADA de mosquito, zica dengue chikungunya 3 por 10 na minha mão é mais barato tia."
214,graças a deus a dilma aprendeu q zika é o vírus e não o mosquito
215,"Retweeted Blog do Planalto (@blogplanalto):  Dilma: A guerra contra o mosquito transmissor do zika é complexa, pq... https://t.co/5RCGQOyF82"
216,E A LIVIA É BAILE DE FAVELA! SCRR EU FUI PICADA PELO MOSQUITO ZICA pq essa msk n sai da cabeça mais
217,"É a doença do momento, conheça alguns cuidados a ter para se proteger do virus Zika. - https://t.co/5A30FVhAI8 #travel #saude"
218,"Com a ajuda de aplicativos, viajantes podem contribuir para eliminar os focos do mosquito: https://t.co/Gdru9U0Xkr #CombateAedes #ZikaVirus"
219,dai a gente concluiu que a solução era pegar um mosquito zika e jogar neles que eles iam morrer...
220,"@wictorshow nesse caso do zica ai.. tao culpando o mosquito sendo que o culpado ? o governo! Deram vacina vencida sei la, q deu errado..."
