,tweets_VBN
139,"Retweeted Saludable GM (@SaludableGM):  Así es el mosquito Aedes aegypti, causante del zika, dengue y chikungunya... https://t.co/xdGwV7oCO3"
140,Retweeted Eduardo Samán (@SamanEdu):  Investigadores hallan virus del zika en glándulas salivales de mosquito... https://t.co/8PrIVrgGG4
141,hoy me picó un mosquito ojalá sea karma por lo que dije ayer y me muera de zika
142,"Protege a tu familia del #zika, #chikungunya y del #dengue con este #repelente natural contra mosquitos. Combina... https://t.co/jCkCpuBcBz"
143,"grave no son los huertos si no la mentira,no hay agua,con una epidemia de zika,dengue,chikunguya a criar mosquitos https://t.co/C2CqxcceYm"
144,Voy a llegar a casa con el zika si siguen los mosquitos así
145,Previo a la descacharrización se entregaron folletos informativos para prevenir el mosquito del Zika.
146,"Retweeted MinSalud (@MinSaludCol):  Ensayos de control biológico al Aedes aegypti, mosquito transmisor de zika,... https://t.co/6QEXRuEKC1"
147,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/Ap3EHkZfR3
148,"Voy a empezar a criar mosquitos con dengue, zika y chikungunya. Me tienen harto los vecinos con la cumbia y la mordidita y toda esa mierda."
149,Ya me gozaron mas de 20 mosquitos ahora hay que ver si es dengue o zika...
150,"Todos a combatir al mosquito portador del Dengue, Chicungunya y Zika. #TachiraNoEsTerrorismo https://t.co/lKwjDb6qdO"
151,"Retweeted Sustentabilidad UNAM (@UNAMsustentable):  #Zika, los mosquitos vuelven a la carga: reportaje de ¿Cómo... https://t.co/FHvEjJIR8B"
152,Voy a importar el repelente para mosquitos con zika #IdeaMillonaria
153,"Retweeted Saludable GM (@SaludableGM):  Así es el mosquito Aedes aegypti, causante del zika, dengue y chikungunya... https://t.co/AmCSGW2VkW"
154,Llega a Chile mosquito que transmite el zika https://t.co/HwSqpZxdST
155,"Protege a tu familia de enfermedades causadas por el mosquito del dengue, zika y chikungunya. https://t.co/bXvKddIKCs"
156,Retweeted https://t.co/eOmyz2tsT1 (@crhoycom):  Embarazadas siguen sin recibir kits para protegerse del Zika -... https://t.co/wdFi7NYXtr
157,Retweeted Ministerio de Salud (@msalnacion):  #dengue #chikunguña #zica ¿Cómo prevenir las picaduras de mosquitos... https://t.co/d7n2y5l8g0
158,exhorta a continuar eliminando criaderos de mosquitos https://t.co/JoDw845APE https://t.co/A4jgDUTxSk
159,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya
160,Sobreviví a todos los mosquitos menos al zika 😭😭😭😭
161,"ZIKA  a si se llama el nuevo mosquito , a cuidarnos gente."
162,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/awVZk8GwQ8
163,"Todos a cumplir con estas acciones para la prevención del mosquito transmisor del dengue, chinconguya y zika.... https://t.co/v2k3KCpWIO"
164,Retweeted SSalud Tabasco (@SSalud_Tab):  El #zika es una enfermedad transmitida por la picadura de un mosquito... https://t.co/wgEt0ArOrW
165,"Combate a Zika, Dengue y Chikungunya para proteger a familias de Centro https://t.co/nyVmJsqYPU https://t.co/fQPOOcLVJK"
166,"Combate a Zika, Dengue y Chikungunya para proteger a familias de Centro https://t.co/GbOgFBMO6M vía @sinremitente21 @NoheliCerino"
167,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya https://t.co/pzymWPysCX
168,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya
169,Chicos me picó un mosquito y tengo todo el brazo dormido seguro es el zika bamosss
170,Únanse a la campaña de prevención del ZIKA. Eliminen los criaderos de mosquitos #TodosContraElZika 💪 https://t.co/1rUiVfTcHo
171,se me acerca un mosquito y ya me desespero porque pienso que es dengue zika y todo junto
172,"Voy a llamar a la oficina,  decirles que estoy con anginas, que me picó el mosquito del Zika y pego alto faltazo♫"
173,"Pese a hallazgo de mosquito, Virus Zika no representa aún un riesgo en Chile Continental https://t.co/H9QK1L1my1 https://t.co/2RtuPz1pVK"
174,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/E8vBDDLKmC
175,Worried about #ZikaVirus @MLB players question #PuertoRico games: https://t.co/riPSgu8Pc0 #mosquitoes https://t.co/93Vp8oIACD
176,Retweeted Sin Embargo (@SinEmbargoMX):  Mexicano crea método para combatir el mosquito transmisor del zika... https://t.co/XkqAPKCd6m
177,"Casa a casa fumigamos para eliminar el mosquito del Zika, Dengue y Chikungunya. #TodoPoTuCalidadDeVida. https://t.co/gtxFsXgIFw"
178,"Retweeted Casa Rosada (@CasaRosada):  Conocé las medidas para prevenir el mosquito del dengue, zika y la fiebre... https://t.co/GYSA2i0bS0"
179,Llego a Arica escapando del temporal en stgo y ahora encuentran al mosquito del Zika
180,Llega a Chile mosquito que transmite el zika https://t.co/WytRXicl9v | https://t.co/oTOX3I9XUR https://t.co/W2CelczNbX
181,Llega a Chile mosquito que transmite el zika https://t.co/1M4qcGiQa9
182,Llega a Chile mosquito que transmite el zika https://t.co/AtV5frPa2t | https://t.co/Qew6MmUPgn https://t.co/C6JghAF68Q
183,Llega a Chile mosquito que transmite el zika https://t.co/OOlpLWly13 | https://t.co/e2tnW1hEBD https://t.co/2avh1MqIXn
184,Retweeted gonzalo andres rojas (@Gonzaloxrojas):  Encuentran mosquito que transmite el zika y el dengue en Chile... https://t.co/bAzEjaKgIw
185,Llega a Chile mosquito que transmite el zika https://t.co/s7KVKLAJvX | https://t.co/5fuGwutcC3 https://t.co/sbpCfxvxIO
186,Llega a Chile mosquito que transmite el zika https://t.co/efNRMronuE | https://t.co/43jxVu5tsZ https://t.co/PZHhr4YJSq
187,Llega a Chile mosquito que transmite el zika https://t.co/H5yrEc860Y | https://t.co/j6e8kDKcdP https://t.co/7kliSWaXLr
188,Llega a Chile mosquito que transmite el zika
189,Llega a Chile mosquito que transmite el zika https://t.co/jMcs6GpPRI | https://t.co/TK3o86haWz https://t.co/m32a8O0Sjd
190,Llega a Chile mosquito que transmite el zika https://t.co/dpb2UKTY6B
191,Llega a Chile mosquito que transmite el zika https://t.co/FAJtO6kCzi | https://t.co/9pvinTW680 https://t.co/eQn9rgBxND
192,Llega a Chile mosquito que transmite el zika https://t.co/paIdIjnSAI | https://t.co/Pq5au68xKV https://t.co/2eU9wHuu5K
193,"Llego a Chile mosquito del Zika, más en #7AM, con @LibardoBuitrago en terreno @RogerConductor en el @FMConquistador 91.3"
194,Llega a Chile mosquito que transmite el zika https://t.co/3q1j8Xrxhl
195,Llega a Chile mosquito que transmite el zika https://t.co/KnjgnnCECB | https://t.co/6sRfXwlGkK https://t.co/q1P7yAQiVD
196,"Retweeted Noticias Telemundo (@TelemundoNews):  Erradicar al mosquito de #Zika en Brasil, una meta improbable... https://t.co/ts1UJ5coba"
197,Retweeted Globovisión (@globovision):  Chile confirma presencia de mosquito que transmite virus zika... https://t.co/DzB4L5JUXc
198,Y a las 6pm se ponen los mosquitos intensos y supuestamente hay alerta por el zika @MINSA_Panama @CastaliaPascual @tvnnoticias
199,"Si a una embarazada la pica un mosquito infectado con el virus del Zika, el bebé puede nacer Sietecase. https://t.co/vlxlZlqMyR"
200,"Retweeted #Radio #Guáimaro (@radioguaimaro):  Científicos brasileños: El virus del #Zika, hallado en mosquitos... https://t.co/le80MY14dL"
201,Retweeted teleSUR TV (@teleSURtv):  Evitemos la proliferación del mosquito transmisor del #Zika... https://t.co/1R4JJ8uYco
202,Educando a las comunidades combatimos la propagación de los mosquitos aedes aegypti. #Zikavirus https://t.co/UqEikpZ7rB
203,"Echan a todos de sus puestos de trabajo pero ojo, cuidemosnos del mosquito matapobres. #AedesAegypti #ZikaVirus  #JuevesIntratable"
204,se me para un mosquito y ya flasheo zika
205,"se me caGO EL VENTILADOR Y NO TENGO AIRE, ME ESTOY MURIENDO Y APARTE HAY MUCHOS MOSQUITOS, ZIKA, DENGUE LOS SIENTO"
206,Ver a un mosquito y tener miedo que te de dengue zika zuki zaki y la concha de la hermana del puto mosquito
207,"Si a Petete Martínez lo pica un mosquito con Zika, se muere el mosquito."
208,Retweeted La Radio del Sur (@laradiodelsur):  El mosquito que transmite el #Zika es el mismo de la Chikungunya y... https://t.co/hmjeSRdP9X
209,Retweeted BBC Mundo (@bbcmundo):  10 formas de protegerte del virus del zika https://t.co/cBs0vQmIss https://t.co/f3SvJPqXp4
210,Retweeted INS (@INS_Peru):  'La única forma de contagio (#Zika) es por la picadura del mosquito Aedes aegypti'... https://t.co/diofAb4RRY
211,Retweeted El Nacional (@ElNacionalWeb):  Diez formas de protegerte del virus del zika https://t.co/HRIgjtDwVh... https://t.co/w4pabcPCIn
212,"Súmate a la Jornada Nacional Contra El ZIKA, evita los criaderos de mosquito Aedes aegypti. #TodosContraElZika https://t.co/dnbuHHPAqi"
213,Retweeted Fundacion Los Teques (@fundalosteques1):  Evita el Zika eliminando los posibles criaderos de mosquitos... https://t.co/QIcDNr64GS
214,ya me pico un mosquito seguro tengo el zika DIOS ME OIGA
215,"Regreso a casa y   OH SORPRESA !   SIN LUZ @ANDEOficial   Por favor 🙏🏻😭🙏🏻😭  Barrio Seminario , mosquitos , dengue , zika !  CALOOOR !"
216,¿Vas a viajar a #Brasil a los #JJOO? Con nosotros estarás protegido del #Mosquito del #Zika! https://t.co/XEMZ8SeigS
217,@QPachow #YaUrgeQue muera tanto mosquito primero chincon no se q y ahora Zika!!! Ya espantalooo @OyeGustavoTello  https://t.co/Po5U2Xp3iW
218,Llega a México virus de Zika transmitido por el mosquito https://t.co/qC6MXJhhTg
219,"Protege a tu familia de los piquetes de mosquito para evitar enfermedades como el zika, dengue y chikungunya. https://t.co/FimiCL2nB1"
220,"Protejan a sus familias de los mosquitos para evitar contagiarnos de dengue, chikungunya y zika. La salud es primero https://t.co/4wMMWmyoMu"
221,Retweeted H Teófilo Dávila (@HTDMACHALA):  #Machala | Los mosquitos que transmiten el virus del #Zika también... https://t.co/nlupMw4lrr
222,Enseñamos a nuestros consumidores a realizar gel anti bacterial y contra los mosquitos para prevenir el Zika. https://t.co/gaHP0KHG4b
