,filtered_tweets_pt
168,Mensagem sobre Zica: combinaram com o Aedes? Ou rolou um Pixuleco de mosquito? https://t.co/8qgyrn7Y1N
169,"@Estadao TENHA UM MÍNIMO DE VERGONHA NA CARA E DESAPAREÇA, ZICA DILMA!! MATA MAIS QUE O MOSQUITO!! SEM VERGONHA!! BANDIDOS!!!!"
170,"Reparei agr que to cheia de manchinha vermelha no corpo, espero que seja mordida de mosquito e não zika"
171,PRENDAM OS MOSQUITOS! Casos de zika em presídios preocupam juiz https://t.co/Ynyr1op7wB
172,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/x13b2PNzGI #Zika: Água parada pra combater mosquito??? (#Pirula 125)
173,Os americano não querem vir nas olimpíadas com medo do zika mas são muito fresco mesmo fugir de umas bostinha de mosquito
174,Operação Mata Mosquito - Laboratório francês espera testar vacina contra Zika https://t.co/xxdnNMlr2n
175,https://t.co/5iKcjBofOy - Nós temos a tecnologia para destruir todos os mosquitos transmissores do Zika https://t.co/5PVMGcz53f
176,abro o site da ufrgs e tem o mosquito da zika/dengue
177,imagens de pessoas após serem picadas por o mosquito que contem o vírus zika. https://t.co/mzdGlySjAQ
178,"Acho que quem trouxe a zika para o Brasil não foi o mosquito. Foi o PT,a zika está brava em tudo."
179,O  que é isso?  Uma libélula?  Mosquito da Zika? https://t.co/l0l74W5Fz4
180,"ATENÇÃO!!  CUIDADOS COM SUA SAÚDE, CONHEÇA MAIS SOBRE A ZIKA e as doenças que o mosquito pode transmitir...  Vale... https://t.co/HrUpIOe9Ze"
181,O Apóstolo pensando...  O BRASIL E A DENGUE E O ZIKA!!! Onde se prolifera os mosquitos? Não é de água parada?... https://t.co/Hg5DHXz542
182,"Farmácias já estão sem repelentes  Com o medo do zika, da dengue e da chikungunya, doenças causadas pelo mosquito... https://t.co/HKJkKLnm8m"
183,Tá aí... Qdo eu publiquei a meses atrás que nada tinha a ver '''mosquitos ( zica e dengue) com essa... https://t.co/4EkXi4kIOs
184,"Repelente caseiro afasta o mosquito da Dengue, Zika e Chikungunya - https://t.co/xkmtjQWvLo"
185,El Salvador Introduces Mosquito-Eating Fish to Zika Fight https://t.co/REnBBQwEFb via BreitbartNews
186,toda vez que um mosquito me pica eu penso fODEU EH O MOSQUITO DA DENGUE ZIKA CHIKUNGUNYA
187,&lt;font&gt;&lt;font&gt;Já houve um único caso de vírus Zika no Brasil ANTES Portas / Oxitec lançaram seus mosquitos... https://t.co/Ivi6r7M7To
188,@NatGeoPhotos @NatGeo Who are we to make mosquitos extinct? #ZikaVirus
189,“Combater o zika vírus tentando apenas erradicar o mosquito não funcionará” https://t.co/Bm0sPYstLY
190,O ministro da saúde Marcelo Casto afirmou que estamos perdendo feio a luta contra o mosquito e o vírus Zika. https://t.co/4NYny6iIqp
191,Zika estória recheado interesse escuso. Primeiro foram eles que criaram o problema disseminação do 'Mosquito Aédes' https://t.co/YelVDioMk7
192,Tem mosquitos me picando não seja zika por favor
193,um mosquito me picou ai meu deus que nao seja zika virus
194,Quer PROTEGER sua FAMÍLIA do MOSQUITO da DENGUE - ZICA VÍRUS e CHICUNGUNHA?   Nós temos a solução para VOCÊ!... https://t.co/r85bue7JjY
195,Médicos brasileiros recomendam que mulheres usem burla islâmica para se proteger do zika https://t.co/PliDsb1WSO
196,Zika vírus se propaga 5 vezes mais rápido que a dengue:       Mosquito aedes trans... https://t.co/sdRhXS4H8e
197,"To com umas 20 picadas de mosquito pelo corpo, certo que alguma é zika"
198,Criar mosquitos estéreis é a aposta da @iaeaorg  para combater o #ZikaVirus; reunião em Brasília dias 22 e 23 sobre o tema
199,"Zika Zero   Somos todos contra o mosquito, Faça sua parte. Vamos para a guerra. https://t.co/f6xCdvQPZu"
200,"Do Zika ao Aborto, como assim!!  “Combater o zika vírus tentando apenas erradicar o mosquito não funcionará”  https://t.co/IvnlEl3lou"
201,"E se um mosquito que transmite zika, dengue e tals, picar uma pessoa com HIV (AIDS) e depois picar outra pessoa, o que acontece? 👀"
202,"Teve uma época em que foram soltos vários mosquitos da dengue do 'bem', eu acho q esses mosquitos quem trouxeram essa zika e chicungunha..."
203,"Dengue, chikungunya, Zica. Que mosquito danado!"
204,o mosquito é zika mas os muleque são dengoso
205,"Minha mae não foi picada pelo mosquito, mas eu sou zica kkkk"
206,Xô zika...O papel da nossa mídia golpista é ser o mosquito do Brasil? https://t.co/Ta4vmf1eaE @tijolaco https://t.co/tZqi2b5xqa
207,"fui mordida por tanto mosquito que acho que to com dengue, zika e chicungunha"
208,Fui picada por um mosquito da dengue/zika/chicogunha (sei la como escreve) agr é esperar pra ver qual vai manifestar
209,@jornalhoje Qual interesse dos EUA em ajudar o #Brasil nos estudos do vírus #Zika ? Aí tem. #MosquitoTransgenico
210,DA SÉRIE: OS MOSQUITOS PENSADORES.(“O que é falso e o que é verdadeiro nos boatos sobre zika”)https://t.co/3z18ucwinM
211,"acabei de ser atacada por mosquitos,espero q n seja o zika"
